318,3457A,2022-01-07_17:16:57,1.0000050000,22.35,38.20
319,3458A,2022-01-07_17:17:00,1.0000028800,22.35,38.23
320,3457A,2022-01-07_17:17:00,1.0000052000,22.35,38.23
321,3458A,2022-01-07_17:17:02,1.0000025730,22.37,38.22
322,3457A,2022-01-07_17:17:02,1.0000049000,22.37,38.22
323,3458A,2022-01-07_17:17:03,1.0000025290,22.37,38.20
324,3457A,2022-01-07_17:17:03,1.0000051000,22.37,38.20
325,3458A,2022-01-07_17:17:06,1.0000022650,22.37,38.20
326,3457A,2022-01-07_17:17:06,1.0000054000,22.37,38.20
327,3458A,2022-01-07_17:17:08,1.0000022650,22.35,38.20
328,3457A,2022-01-07_17:17:08,1.0000051000,22.35,38.20
329,3458A,2022-01-07_17:17:10,1.0000016220,22.34,38.23
330,3457A,2022-01-07_17:17:10,1.0000061000,22.34,38.23
331,3458A,2022-01-07_17:17:11,1.0000019140,22.34,38.27
332,3457A,2022-01-07_17:17:11,1.0000046000,22.34,38.27
333,3458A,2022-01-07_17:17:14,1.0000022210,22.34,38.27
334,3457A,2022-01-07_17:17:14,1.0000052000,22.34,38.27
335,3458A,2022-01-07_17:17:16,1.0000018560,22.34,38.25
336,3457A,2022-01-07_17:17:16,1.0000054000,22.34,38.25
337,3458A,2022-01-07_17:17:18,1.0000023390,22.34,38.24
338,3457A,2022-01-07_17:17:18,1.0000051000,22.34,38.24
339,3458A,2022-01-07_17:17:19,1.0000016360,22.32,38.21
340,3457A,2022-01-07_17:17:19,1.0000043000,22.32,38.21
341,3458A,2022-01-07_17:17:22,1.0000031140,22.34,38.25
342,3457A,2022-01-07_17:17:22,1.0000054000,22.34,38.25
343,3458A,2022-01-07_17:17:24,1.0000023240,22.32,38.18
344,3457A,2022-01-07_17:17:24,1.0000049000,22.32,38.18
